# 本分析は統計的傾向の可視化のみ。当選を保証するものではありません。
round,draw_date,prize1_amount,ma20
2022,2025-08-04,370901400,
2023,2025-08-07,200000000,
2024,2025-08-11,130661400,
2025,2025-08-14,0,
2026,2025-08-18,71626100,
2027,2025-08-21,200000000,
2028,2025-08-25,0,
2029,2025-08-28,488049000,
2030,2025-09-01,0,
2031,2025-09-04,194184800,
2032,2025-09-08,200000000,
2033,2025-09-11,85086700,
2034,2025-09-15,106154000,
2035,2025-09-18,0,
2036,2025-09-22,454612800,
2037,2025-09-25,0,
2038,2025-09-29,468137300,
2039,2025-10-02,0,
2040,2025-10-06,474998900,
2041,2025-10-09,0,172220620.0
2042,2025-10-13,470308700,177190985.0
2043,2025-10-16,0,167190985.0
2044,2025-10-20,0,160657915.0
2045,2025-10-23,239377600,172626795.0
2046,2025-10-27,65800600,172335520.0
2047,2025-10-30,0,162335520.0
2048,2025-11-03,0,162335520.0
2049,2025-11-06,0,137933070.0
2050,2025-11-10,0,137933070.0
2051,2025-11-13,600000000,158223830.0
2052,2025-11-17,0,148223830.0
2053,2025-11-20,0,143969495.0
2054,2025-11-24,600000000,168661795.0
2055,2025-11-27,0,168661795.0
2056,2025-12-01,600000000,175931155.0
2057,2025-12-04,217303700,186796340.0
2058,2025-12-08,115587500,169168850.0
2059,2025-12-11,110548300,174696265.0
2060,2025-12-15,200000000,160946320.0
2061,2025-12-18,276436400,174768140.0
2062,2025-12-22,200000000,161252705.0
2063,2025-12-25,0,161252705.0
2064,2025-12-29,600000000,191252705.0
2065,2026-01-05,0,179283825.0
2066,2026-01-08,542887200,203138155.0
2067,2026-01-12,0,203138155.0
2068,2026-01-15,0,203138155.0
2069,2026-01-19,86819200,207479115.0
2070,2026-01-22,200000000,217479115.0
2071,2026-01-26,0,187479115.0
2072,2026-01-29,0,187479115.0
2073,2026-02-02,0,187479115.0
2074,2026-02-05,281563500,171557290.0
2075,2026-02-09,0,171557290.0
2076,2026-02-12,94842000,146299390.0
2077,2026-02-16,0,135434205.0
2078,2026-02-19,495292100,154419435.0
2079,2026-02-23,0,148892020.0
2080,2026-02-26,455170700,161650555.0
2081,2026-03-02,0,147828735.0
2082,2026-03-05,266807600,151169115.0
2083,2026-03-09,0,151169115.0
2084,2026-03-12,0,121169115.0
2085,2026-03-16,600000000,151169115.0
2086,2026-03-19,0,124024755.0
2087,2026-03-23,600000000,154024755.0
2088,2026-03-26,85315200,158290515.0
2089,2026-03-30,0,153949555.0
2090,2026-04-02,449917100,166445410.0
2091,2026-04-06,0,166445410.0
2092,2026-04-09,0,166445410.0
2093,2026-04-13,0,166445410.0
2094,2026-04-16,200321600,162383315.0
2095,2026-04-20,0,162383315.0
2096,2026-04-23,0,157641215.0
2097,2026-04-27,0,157641215.0
2098,2026-04-30,536215400,159687380.0
2099,2026-05-04,0,159687380.0
2100,2026-05-07,100644600,141961075.0
2101,2026-05-11,119417600,147931955.0
2102,2026-05-14,200000000,144591575.0
2103,2026-05-18,121423400,150662745.0
2104,2026-05-21,200000000,160662745.0
2105,2026-05-25,0,130662745.0
2106,2026-05-28,261492400,143737365.0
2107,2026-06-01,200000000,123737365.0
2108,2026-06-04,83434500,123643330.0
2109,2026-06-08,200000000,133643330.0
2110,2026-06-11,124941200,117394535.0
2111,2026-06-15,0,117394535.0
2112,2026-06-18,0,117394535.0
2113,2026-06-22,0,117394535.0
2114,2026-06-25,525897600,133673335.0
2115,2026-06-29,0,133673335.0
2116,2026-07-02,485666100,157956640.0
2117,2026-07-06,0,157956640.0
2118,2026-07-09,0,131145870.0
2119,2026-07-13,600000000,161145870.0
2120,2026-07-16,0,156113640.0
2121,2026-07-20,600000000,180142760.0
2122,2026-07-23,0,170142760.0
2123,2026-07-27,293335100,178738345.0
2124,2026-07-30,0,168738345.0
2125,2026-08-03,0,168738345.0
2126,2026-08-06,600000000,185663725.0
2127,2026-08-10,408302200,196078835.0
2128,2026-08-13,200000000,201907110.0
2129,2026-08-17,0,191907110.0
