round,draw_date,venue,draw_date_kyo,n1,n2,n3,n4,n5,n6,bonus,prize1_winners,prize2_winners,prize3_winners,prize4_winners,prize5_winners,prize1_amount,prize2_amount,prize3_amount,prize4_amount,prize5_amount,carryover
2129,2026-08-17,東京 宝くじドリーム館,2026/8/17,2,4,6,16,25,41,40,0,2,258,12822,199767,0,34449900,288400,6100,1000,239978734
2128,2026-08-13,東京 宝くじドリーム館,2026/8/13,13,20,22,27,35,38,11,1,8,215,9087,141943,200000000,7887200,316900,7900,1000,10319757
2127,2026-08-10,東京 宝くじドリーム館,2026/8/10,7,12,15,29,30,33,22,1,5,357,13333,200568,408302200,14706900,222400,6200,1000,0
2126,2026-08-06,東京 宝くじドリーム館,2026/8/6,18,20,22,35,37,42,24,1,4,240,11134,187447,600000000,20492900,368800,8400,1000,163194603
2125,2026-08-03,東京 宝くじドリーム館,2026/8/3,3,22,25,28,30,43,39,0,7,241,11686,192682,0,11573900,363000,7900,1000,489963936
2124,2026-07-30,東京 宝くじドリーム館,2026/7/30,6,20,29,36,37,41,19,0,8,165,8005,134914,0,8247000,431800,9400,1000,219914692
2123,2026-07-27,東京 宝くじドリーム館,2026/7/27,1,2,4,25,37,40,43,2,8,194,10917,194406,293335100,10323100,459700,8600,1000,0
2122,2026-07-23,東京 宝くじドリーム館,2026/7/23,12,15,18,21,26,32,41,0,8,224,10717,174785,0,8735200,336900,7400,1000,311395743
2121,2026-07-20,東京 宝くじドリーム館,2026/7/20,1,3,10,17,25,26,36,1,11,479,17960,251843,600000000,7086200,175700,4900,1000,78463295
2120,2026-07-16,東京 宝くじドリーム館,2026/7/16,3,8,13,14,16,43,26,0,9,195,11417,201006,0,8040500,400700,7200,1000,418643783
2119,2026-07-13,東京 宝くじドリーム館,2026/7/13,15,18,20,22,30,38,42,1,2,193,11079,192434,600000000,44295500,495700,9100,1000,177434948
2118,2026-07-09,大阪 宝くじドリーム館,2026/7/9,1,5,8,35,36,37,24,0,6,323,14687,223868,0,12588100,252500,5800,1000,482140962
2117,2026-07-06,大阪 宝くじドリーム館,2026/7/6,4,7,26,27,35,41,34,0,4,213,11374,181867,0,17279500,350400,6900,1000,230386799
2116,2026-07-02,東京 宝くじドリーム館,2026/7/2,2,6,13,14,20,42,10,1,7,226,12948,216056,485666100,11017800,368500,6700,1000,0
2115,2026-06-29,東京 宝くじドリーム館,2026/6/29,1,3,11,34,35,42,23,0,8,171,10071,168868,0,8572400,433100,7700,1000,228591918
2114,2026-06-25,東京 宝くじドリーム館,2026/6/25,2,16,20,21,23,33,43,2,8,313,13496,212254,525897600,11524100,318000,7700,1000,0
2113,2026-06-22,東京 宝くじドリーム館,2026/6/22,2,5,32,36,38,42,14,0,8,225,12885,213988,0,10842600,416300,7600,1000,744495484
2112,2026-06-18,東京 宝くじドリーム館,2026/6/18,3,7,8,27,31,40,18,0,4,293,14317,218891,0,18589200,274000,5900,1000,455366461
2111,2026-06-15,東京 宝くじドリーム館,2026/6/15,1,5,8,12,37,43,36,0,5,259,13929,216748,0,12451400,259500,5100,1000,207517626
2110,2026-06-11,東京 宝くじドリーム館,2026/6/11,3,9,18,35,36,40,29,2,4,217,11138,167812,124941200,17446600,347300,7100,1000,0
2109,2026-06-08,東京 宝くじドリーム館,2026/6/8,6,11,19,31,38,41,3,1,6,234,10718,171685,200000000,10863700,300800,6900,1000,17268406
2108,2026-06-04,東京 宝くじドリーム館,2026/6/4,2,5,10,15,28,43,27,3,6,313,13552,195451,83434500,10845500,224500,5400,1000,0
2107,2026-06-01,東京 宝くじドリーム館,2026/6/1,5,8,27,32,36,39,38,1,6,241,11251,181175,200000000,11670300,313700,7100,1000,33399525
2106,2026-05-28,東京 宝くじドリーム館,2026/5/28,1,6,17,27,34,43,24,2,12,269,12294,193814,261492400,6397500,308200,7100,1000,0
2105,2026-05-25,東京 宝くじドリーム館,2026/5/25,5,26,28,30,36,40,32,0,5,159,8406,151323,0,15075200,511900,10200,1000,267091381
2104,2026-05-21,東京 宝くじドリーム館,2026/5/21,18,19,21,25,28,34,4,1,9,180,9725,153283,200000000,7195000,388500,7500,1000,15845051
2103,2026-05-18,東京 宝くじドリーム館,2026/5/18,1,2,4,5,8,38,39,2,6,523,18465,234935,121423400,10965700,135800,4000,1000,0
2102,2026-05-14,東京 宝くじドリーム館,2026/5/14,18,21,25,28,30,43,8,1,8,148,8874,147401,200000000,8382900,489300,8600,1000,23538243
2101,2026-05-11,東京 宝くじドリーム館,2026/5/11,1,17,29,33,40,42,21,2,3,158,8609,143366,119417600,23884300,489700,9400,1000,0
2100,2026-05-07,東京 宝くじドリーム館,2026/5/7,8,17,24,32,35,41,28,5,15,461,15912,212199,100644600,5150200,180900,5500,1000,0
2099,2026-05-04,東京 宝くじドリーム館,2026/5/4,19,21,34,36,39,42,43,0,2,126,7983,139177,0,36859100,631800,10500,1000,245719871
2098,2026-04-30,東京 宝くじドリーム館,2026/4/30,1,6,15,18,19,42,24,2,18,254,14486,235925,536215400,4776600,365500,6700,1000,0
2097,2026-04-27,東京 宝くじドリーム館,2026/4/27,3,20,24,27,34,42,37,0,4,261,12217,202554,0,21894400,362300,8100,1000,785838686
2096,2026-04-23,東京 宝くじドリーム館,2026/4/23,8,15,18,21,33,43,38,0,6,239,12495,190942,0,12574100,340900,6800,1000,493922051
2095,2026-04-20,東京 宝くじドリーム館,2026/4/20,13,20,22,23,28,30,29,0,5,175,8524,153085,0,14547300,448800,9700,1000,242447428
2094,2026-04-16,東京 宝くじドリーム館,2026/4/16,3,4,7,11,24,30,16,5,18,710,25626,316889,200321600,4168200,114100,3300,1000,0
2093,2026-04-13,東京 宝くじドリーム館,2026/4/13,2,10,21,26,29,38,12,0,16,329,14455,224282,0,5077800,266600,6400,1000,751519994
2092,2026-04-09,東京 宝くじドリーム館,2026/4/9,8,13,27,36,37,43,3,0,6,264,11718,181007,0,12644000,310300,7300,1000,480712171
2091,2026-04-06,東京 宝くじドリーム館,2026/4/6,6,16,21,25,28,43,9,0,2,187,9022,160010,0,34177100,394700,8600,1000,227840393
2090,2026-04-02,東京 宝くじドリーム館,2026/4/2,2,3,6,9,24,36,5,1,8,476,19544,251566,449917100,7992100,145000,3700,1000,0
2089,2026-03-30,東京 宝くじドリーム館,2026/3/30,9,16,18,32,37,43,13,0,11,162,9049,151757,0,6458300,473500,8900,1000,236800230
2088,2026-03-26,東京 宝くじドリーム館,2026/3/26,8,16,18,27,37,39,29,3,11,282,12626,184969,85315200,6129800,258200,6000,1000,0
2087,2026-03-23,東京 宝くじドリーム館,2026/3/23,7,10,15,18,26,39,13,1,9,302,14390,216634,600000000,8467700,272500,6000,1000,31193795
2086,2026-03-19,東京 宝くじドリーム館,2026/3/19,4,11,19,28,39,40,6,0,15,296,12723,188055,0,4915400,269000,6600,1000,377168743
2085,2026-03-16,東京 宝くじドリーム館,2026/3/16,6,8,13,26,35,43,14,1,3,276,12985,208313,600000000,26889600,315600,7000,1000,131403738
2084,2026-03-12,東京 宝くじドリーム館,2026/3/12,8,17,18,19,30,39,9,0,8,290,11789,183453,0,9460500,281800,7300,1000,462516068
2083,2026-03-09,東京 宝くじドリーム館,2026/3/9,8,10,13,17,26,29,43,0,7,302,13544,199383,0,9010700,225500,5300,1000,210243220
2082,2026-03-05,大阪 宝くじドリーム館,2026/3/5,5,11,14,19,25,40,17,2,6,293,14596,232454,266807600,14329900,316900,6700,1000,0
2081,2026-03-02,大阪 宝くじドリーム館,2026/3/2,14,31,32,37,41,42,22,0,3,154,8262,140455,0,24703300,519700,10200,1000,247024989
